name,E_gap,M,A,R1,R2,R3,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb,Rot_A,ZnP,TiOP,TiO2RP,FZnP,FH2P,FTiOP,FTiO2RP,H2P
C47H30N4O2,4.534957012,H2P,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C47H28N4O3Ti,4.616363139,TiOP,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C54H32N4O5Ti,4.250175023,TiO2RP,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C47H20F8N4O3Ti,4.657114633,FTiOP,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C47H28N4O2Zn,4.641776168,ZnP,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C47H20F8N4O2Zn,4.70411851,FZnP,EthynPhA,Ph,Ph,Ph,0,0,0,0,0,0,0,0,0,0,0,54.03860291,0,0,6.657116646,-0.977227894,7.639856044,6.75667385,0,0,0,0,0,0,7.444757479,0,0,0,10.55739517,0,0,0,0,9.406088693,11.4767371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C50H36N4O5,4.272217162,H2P,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C50H34N4O6Ti,4.297207966,TiOP,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C57H38N4O8Ti,4.016902342,TiO2RP,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C50H26F8N4O6Ti,4.17844213,FTiOP,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C50H34N4O5Zn,4.357410836,ZnP,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C50H26F8N4O5Zn,4.263391033,FZnP,EthynPhA,Ph,TMP,Ph,0,0,0,0,0,0,4.807713345,0,0,0,0,46.97268907,0,0,6.6522352,-0.990072145,8.487997514,6.202591795,0,0,0,0,0,0,7.431286374,0,0,0,10.61558228,0,0,0,0,9.449104737,11.53237699,17.33849484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
