name,M,A,R1,R2,R3,E_gap
C56H46N4O11Zn,ZnP,EthynPhA,TMP,TMP,TMP,4.0973967267732405
C53H35F5N4O8Zn,ZnP,EthynPhA,TMP,FPh,TMP,4.1629905067245545
C56H42N4O9Zn,ZnP,EthynPhA,TMP,EthynPhM,TMP,4.05589836413435
C63H60N4O2Zn,ZnP,EthynPhA,DTBP,Ph,DTBP,4.515745471209016
C61H56N4O8Zn,ZnP,EthynPhA,TMP,DTBP,TMP,4.177650399387744
C65H64N4O4Zn,ZnP,EthynPhA,DTBP,DMP,DTBP,4.398192293569878
C47H18F10N4O2Zn,ZnP,EthynPhA,FPh,Ph,FPh,4.711538434485192
C49H22F10N4O4Zn,ZnP,EthynPhA,FPh,DMP,FPh,4.4871642652353785
C71H76N4O2Zn,ZnP,EthynPhA,DTBP,DTBP,DTBP,4.480442985459035
C66H66N4O5Zn,ZnP,EthynPhA,DTBP,TMP,DTBP,4.294107101939517
C63H55F5N4O2Zn,ZnP,EthynPhA,DTBP,FPh,DTBP,4.533947995854419
C50H24F10N4O5Zn,ZnP,EthynPhA,FPh,TMP,FPh,4.340590001341525
C66H62N4O3Zn,ZnP,EthynPhA,DTBP,EthynPhM,DTBP,4.2790855210554355
C55H34F10N4O2Zn,ZnP,EthynPhA,FPh,DTBP,FPh,4.612635953017957
C47H13F15N4O2Zn,ZnP,EthynPhA,FPh,FPh,FPh,4.725131900617384
C63H46N6O2Zn,ZnP,EthynPhA,DTA,Ph,DTA,3.7755111534983143
C61H49N5O8Zn,ZnP,EthynPhA,TMP,DTA,TMP,3.9981260862755335
C50H20F10N4O3Zn,ZnP,EthynPhA,FPh,EthynPhM,FPh,4.4142895545834335
C47H23F5N4O2Zn,ZnP,EthynPhA,Ph,FPh,Ph,4.664290834973144
C51H36N4O6Zn,ZnP,EthynPhA,DMP,Ph,DMP,4.403674201958211
C44H27N5O2Zn,ZnP,2CyanoPropenA,Ph,Ph,Ph,4.473383973046111
C50H30N4O3Zn,ZnP,EthynPhA,Ph,EthynPhM,Ph,4.386940813554929
C65H50N6O4Zn,ZnP,EthynPhA,DTA,DMP,DTA,3.7021364658252196
C46H31N5O4Zn,ZnP,2CyanoPropenA,Ph,DMP,Ph,4.145864967782586
C75H69N5O2Zn,ZnP,EthynPhA,DTBP,TPA,DTBP,4.008071738800368
C71H69N5O2Zn,ZnP,EthynPhA,DTBP,DTA,DTBP,4.071460844865669
C47H28N4O2Zn,ZnP,EthynPhA,Ph,Ph,Ph,4.641776168444608
C66H48N6O3Zn,ZnP,EthynPhA,DTA,EthynPhM,DTA,3.72573196563269
C49H32N4O4Zn,ZnP,EthynPhA,Ph,DMP,Ph,4.4695085771923
C55H27F10N5O2Zn,ZnP,EthynPhA,FPh,DTA,FPh,4.072648959845992
C59H27F10N5O2Zn,ZnP,EthynPhA,FPh,TPA,FPh,4.0341135214926
C71H62N6O2Zn,ZnP,EthynPhA,DTA,DTBP,DTA,3.726175646869592
C47H29N5O3Zn,ZnP,2CyanoPropenA,Ph,EthynPhM,Ph,4.2059225920858125
C44H22F5N5O2Zn,ZnP,2CyanoPropenA,Ph,FPh,Ph,4.347298793375558
C63H41F5N6O2Zn,ZnP,EthynPhA,DTA,FPh,DTA,3.6406637576271805
